CIK|Ticker|Name|Exchange|SIC|Business|Incorporated|IRS
1090872|A|Agilent Technologies Inc|NYSE|3825|CA|DE|770518772
4281|AA|Alcoa Inc|NYSE|3350|PA|PA|250317820
1332552|AAACU|Asia Automotive Acquisition Corp||6770|DE|DE|203022522
1287145|AABB|Asia Broadband Inc|OTC|8200|GA|NV|721569126
1024015|AABC|Access Anytime Bancorp Inc||6035|NM|DE|850444597
1099290|AAC|Sinocoking Coal & Coke Chemical Industries Inc|NASDAQ|3312|F4|FL|593404233
1264707|AACC|Asset Acceptance Capital Corp||6153|MI||800076779
849116|AACE|Ace Cash Express Inc||6099|TX|TX|752142963
1409430|AAGC|All American Gold Corp|OTC|1040|IN|WY|260665571
948846|AAI|Airtran Holdings Inc||4512|FL|NV|582189551
1013243|AAIIQ|Aaipharma Inc|OTC|8734|NC|DE|42687849
1303849|AAIR|Avantair Inc|OTC|4522|FL|DE|201635240
6201|AAL|American Airlines Group Inc|NASDAQ|4512|TX|DE|751825172
852015|AAMC|American Asset Management Corp|OTC|6162|NJ|NJ|222902677
1555074|AAMC|Altisource Asset Management Corp|OTC|6500|VI|VI|660783125
8177|AAME|Atlantic American Corp|NASDAQ|6311|GA|GA|581027114
1281629|AAML|Adera Mines LTD||1040|A1||980427221
1123648|AAMU|American Ammunition Inc||3990|FL|NV|912021594
706688|AAN|Aarons Inc|NYSE|7359|GA|GA|580687630
356809|AANB|Abigail Adams National Bancorp Inc||6021|DC|DE|521508198
933955|AANI|Amedia Networks Inc||4813|NJ|DE|113223672
1158114|AAOI|Applied Optoelectronics Inc|NASDAQ|3674|TX|DE|760533927
824142|AAON|Aaon Inc|NASDAQ|3585|OK|NV|870448736
1305748|AAOR|Healthcare Providers Direct Inc||5047|A1|NV|201063591
1158449|AAP|Advance Auto Parts Inc|NYSE|5531|VA|DE|542049910
1040482|AAPH|American Petro-hunter Inc|OTC|1389|AZ|NV|980171619
320193|AAPL|Apple Inc|NASDAQ|3571|CA|CA|942404110
1362502|AAPT|All American Pet Company Inc|OTC|2040|CA|NV|912186665
1424864|AARI|Patriot Minefinders Inc||1000|A1|NV|
1411058|AARS|Asia Atlantic Resources||1000|FL|NV|
930245|AASP|All American Sportpark Inc|OTC|5900|NV|NV|880203976
703701|AASR|Ushealth Group Inc||6321|TX|DE|731165000
1500217|AAT|American Assets Trust Inc|NYSE|6798|CA|MD|
1104042|AATI|Advanced Analogic Technologies Inc||3674|CA|DE|770462930
1419260|AAUI|Andina Group Inc|OTC|7310|UT|NV|201445018
1077319|AAVG|Avstar Aviation Group Inc|OTC|4581|TX|CO|760635938
1358940|AAXT|Aamaxan Transport Group Inc|OTC|9995|A6|DE|870673375
801558|AB|Cannon Express Inc|NYSE|4213|AR|DE|710650141
825313|AB|Alliancebernstein Holding LP|NYSE|6282|NY|DE|133434400
745651|ABAT|Advanced Battery Technologies Inc|OTC|3690|NY|DE|222497491
881890|ABAX|Abaxis Inc|NASDAQ|3829|CA|CA|770213001
1428802|ABBB|Auburn Bancorp Inc|OTCBB|6035|ME||
1292898|ABBC|Abington Community Bancorp Inc||6036|PA|PA|
1397533|ABBC|Abington Bancorp Inc||6036|PA|PA|
812146|ABBK|Abington Bancorp Inc||6036|MA|MA|43334127
1551152|ABBV|Abbvie Inc|NYSE|2834|IL|DE|320375147
1140859|ABC|Amerisourcebergen Corp|NYSE|5122|PA|DE|233079390
351569|ABCB|Ameris Bancorp|NASDAQ|6022|GA|GA|581456434
1009624|ABCC|Wherevertv Broadcasting Corp||7389|PA|DE|133886065
1466815|ABCD|Cambium Learning Group Inc|NASDAQ|2741|TX||270587428
1157377|ABCO|Advisory Board Co|NASDAQ|8741|DC|DE|521468699
20639|ABCP|Ambase Corp|OTC|6512|CT|DE|952962743
1490700|ABCR|Varca Ventures Inc|OTC|1000|A0||980658381
1528234|ABCR|Abc Records Management & Data Storage Inc|OTC|4220|F4||
885322|ABCW|Anchor Bancorp Wisconsin Inc|OTC|6036|WI|DE|391726871
812805|ABDV|Atlantis Technology Group||6153|FL|NV|954082020
